model,accuracy,asr_only_correct,asr_all,eval_dir
substitute,0.9289,0.870666,0.786558,/mnt/data/mnist_dynamic_updated/target_B/substitute_eval
blackbox_B,0.9628,0.829849,0.796311,/mnt/data/mnist_dynamic_updated/target_B/blackbox_eval
