model,accuracy,asr_only_correct,asr_all,eval_dir
substitute,0.991,0.6980827447023209,0.7,checkpoints\blackbox_dynamic_all_20251105-164938\target_B\substitute_eval
blackbox_B,0.9922,0.7472283813747228,0.7483,checkpoints\blackbox_dynamic_all_20251105-164938\target_B\blackbox_eval
