model,accuracy,asr_only_correct,asr_all,eval_dir
substitute,0.9887,0.6736118134924649,0.6766,checkpoints\blackbox_dynamic_all_20251105-164938\target_C\substitute_eval
blackbox_C,0.99,0.6810101010101011,0.6827,checkpoints\blackbox_dynamic_all_20251105-164938\target_C\blackbox_eval
