model,accuracy,asr_only_correct,asr_all,eval_dir
substitute,0.9073,0.885599,0.839025,/mnt/data/mnist_dynamic_updated/target_C/substitute_eval
blackbox_C,0.9499,0.835564,0.859434,/mnt/data/mnist_dynamic_updated/target_C/blackbox_eval
